epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4035.72,0.81268,0.55562,1.78925,0.51777,0.51327,0.47452,0.24845,1.68433,1.61995,2.95976,0.0011882,0.0011882,0.0011882
43,4130.89,0.81423,0.55108,1.81372,0.5532,0.49115,0.47669,0.28693,1.63668,1.77651,2.8863,0.0011684,0.0011684,0.0011684
44,4226.33,0.79759,0.53301,1.82634,0.52479,0.54425,0.4814,0.27017,1.61125,1.61168,2.81077,0.0011486,0.0011486,0.0011486
45,4321.69,0.79642,0.52179,1.80329,0.56383,0.49115,0.49424,0.29443,1.54314,1.58927,2.79824,0.0011288,0.0011288,0.0011288
46,4417.65,0.7886,0.53612,1.78547,0.52275,0.53097,0.47198,0.30004,1.48429,1.53678,2.73348,0.001109,0.001109,0.001109
47,4513.41,0.78043,0.52939,1.75428,0.5773,0.51327,0.49072,0.3128,1.50046,1.469,2.6577,0.0010892,0.0010892,0.0010892
48,4608.44,0.78489,0.54577,1.80759,0.51281,0.53095,0.50452,0.29441,1.56336,1.57152,2.7881,0.0010694,0.0010694,0.0010694
49,4703.11,0.77152,0.51561,1.79342,0.52554,0.5531,0.50298,0.27973,1.5285,1.55884,2.63456,0.0010496,0.0010496,0.0010496
50,4797.83,0.75701,0.49915,1.77883,0.55615,0.43805,0.46057,0.26711,1.63989,1.82859,3.07156,0.0010298,0.0010298,0.0010298
51,4892.58,0.75221,0.49477,1.76615,0.62992,0.43683,0.4624,0.26638,1.64889,1.73478,2.96793,0.00101,0.00101,0.00101
52,4988.03,0.74881,0.50461,1.7687,0.637,0.42478,0.45433,0.26197,1.58064,1.69112,2.78083,0.0009902,0.0009902,0.0009902
53,5083.88,0.74472,0.49009,1.75037,0.48674,0.52655,0.48325,0.28986,1.54019,1.61948,2.79726,0.0009704,0.0009704,0.0009704
54,5180,0.73292,0.4942,1.74038,0.51945,0.51327,0.47678,0.26873,1.59647,1.6154,3.02926,0.0009506,0.0009506,0.0009506
55,5276.26,0.73833,0.48813,1.75777,0.55173,0.54867,0.48364,0.28206,1.62887,1.60081,2.96317,0.0009308,0.0009308,0.0009308
56,5372.18,0.74897,0.48463,1.74542,0.55403,0.5177,0.44187,0.26197,1.54931,1.6439,2.70841,0.000911,0.000911,0.000911
57,5468.19,0.71369,0.47247,1.71989,0.51576,0.53097,0.47622,0.2876,1.62801,1.64871,2.93962,0.0008912,0.0008912,0.0008912
